Koodi;Alkuperäinen teksti;
k11_6_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Työvarusteiden epäsopivuus (esimerkiksi vääränkokoiset varusteet):Minä koin;
k11_6_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Työvarusteiden epäsopivuus (esimerkiksi vääränkokoiset varusteet):Kollegani koki;
k11_7_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Työkollegoiden erilaiset odotukset henkilökohtaisten ominaisuuksien perusteella:Minä koin;
k11_7_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Työkollegoiden erilaiset odotukset henkilökohtaisten ominaisuuksien perusteella:Kollegani koki;
k11_8_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Pätevyyden vähättely henkilökohtaisten ominaisuuksien perusteella:Minä koin;
k11_8_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Pätevyyden vähättely henkilökohtaisten ominaisuuksien perusteella:Kollegani koki;
k11_9_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Muuhun kuin osaamiseen ja tehtävien vaativuuteen liittyvät palkitsemiserot:Minä koin;
k11_9_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Muuhun kuin osaamiseen ja tehtävien vaativuuteen liittyvät palkitsemiserot:Kollegani koki;
k11_10_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Kohtuullisten mukautusten epääminen vammaiselta henkilöltä:Minä koin;
k11_10_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Kohtuullisten mukautusten epääminen vammaiselta henkilöltä:Kollegani koki;
k11_11_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Käskyt tai ohjeet syrjiä toista henkilöä (asiakasta, potilasta tai työkollegaa):Minä koin;
k11_11_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Käskyt tai ohjeet syrjiä toista henkilöä (asiakasta, potilasta tai työkollegaa):Kollegani koki;
k11_12_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Vastatoimiin ryhtyminen yhdenvertaisuusrikkomusten ilmoituksen takia:Minä koin;
k11_12_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Vastatoimiin ryhtyminen yhdenvertaisuusrikkomusten ilmoituksen takia:Kollegani koki;
k11_13_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Syrjivä kohtelu ammattiyhdistystoimintaan osallistumisen takia:Minä koin;
k11_13_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Syrjivä kohtelu ammattiyhdistystoimintaan osallistumisen takia:Kollegani koki;
k11_14_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Irtisanominen tai sillä uhkaaminen henkilökohtaisten ominaisuuksien takia:Minä koin;
k11_14_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Irtisanominen tai sillä uhkaaminen henkilökohtaisten ominaisuuksien takia:Kollegani koki;
k11_15_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Tehtävien jakaminen muun kuin osaamisen tai pätevyyteen perusteella:Minä koin;
k11_15_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Tehtävien jakaminen muun kuin osaamisen tai pätevyyteen perusteella:Kollegani koki;
k11_16_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Muuhun kuin osaamiseen tai pätevyyteen perustuvat palkkaerot (esim. henkilökohtaisen lisän osalta):Minä koin;
k11_16_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä syrjinnästä::Muuhun kuin osaamiseen tai pätevyyteen perustuvat palkkaerot (esim. henkilökohtaisen lisän osalta):Kollegani koki;
k12_1;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Verbaalinen väkivalta;
k12_2;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Omaisuuden vahingoittaminen tai varastaminen;
k12_3;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Uhkailu;
k12_4;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Fyysinen väkivalta;
k12_5;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Seksuaalinen häirintä tai väkivalta;
k12_6;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Vihamielisyys tai epäkohtelias käyttäytyminen;
k12_7;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Syrjintä;
k13_1;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Verbaalinen väkivalta;
k13_2;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Omaisuuden vahingoittaminen tai varastaminen;
k13_3;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Uhkailu;
k13_4;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Fyysinen väkivalta;
k13_5;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Seksuaalinen häirintä tai väkivalta;
k13_6;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Vihamielisyys tai epäkohtelias käyttäytyminen;
k13_7;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi ulkopuoliselta henkilöltä viimeisen 12 kuukauden aikana?:Syrjintä;
k14_1_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Nöyryyttäminen, häpäiseminen:Minä koin;
k14_1_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Nöyryyttäminen, häpäiseminen:Kollegani koki;
k14_2_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Nolaaminen: vähättely, alentaminen, holhoava käyttäytyminen:Minä koin;
k14_2_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Nolaaminen: vähättely, alentaminen, holhoava käyttäytyminen:Kollegani koki;
k14_3_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Nuhtelu toisten edessä:Minä koin;
k14_3_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Nuhtelu toisten edessä:Kollegani koki;
k14_4_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Työn arvostelu epäoikeudenmukaisella tai loukkaavalla tavalla:Minä koin;
k14_4_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Työn arvostelu epäoikeudenmukaisella tai loukkaavalla tavalla:Kollegani koki;
k14_5_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Huutaminen:Minä koin;
k14_5_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Huutaminen:Kollegani koki;
k14_6_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Kiroilu tai henkilöön kohdistuva kiroaminen:Minä koin;
k14_6_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Kiroilu tai henkilöön kohdistuva kiroaminen:Kollegani koki;
k14_7_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Loukkaaminen tai nimittely:Minä koin;
k14_7_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Loukkaaminen tai nimittely:Kollegani koki;
k14_8_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Valheellinen syyttäminen:Minä koin;
k14_8_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Valheellinen syyttäminen:Kollegani koki;
k14_9_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Ärsyttämismielessä sanotut asiat:Minä koin;
k14_9_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta verbaalisesta väkivallasta::Ärsyttämismielessä sanotut asiat:Kollegani koki;
k15_1_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden varastaminen:Minä koin;
k15_1_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden varastaminen:Kollegani koki;
k15_2_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden piilottaminen tai kätkeminen:Minä koin;
k15_2_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden piilottaminen tai kätkeminen:Kollegani koki;
k15_3_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden rikkominen:Minä koin;
k15_3_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden rikkominen:Kollegani koki;
k15_4_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden likaaminen tai niihin töhertäminen:Minä koin;
k15_4_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden likaaminen tai niihin töhertäminen:Kollegani koki;
k15_5_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden luvaton käyttö:Minä koin;
k15_5_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden luvaton käyttö:Kollegani koki;
k15_6_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden varastaminen:Minä koin;
k15_6_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden varastaminen:Kollegani koki;
k15_7_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden piilottaminen tai kätkeminen:Minä koin;
k15_7_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden piilottaminen tai kätkeminen:Kollegani koki;
k15_8_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden rikkominen:Minä koin;
k15_8_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden rikkominen:Kollegani koki;
k15_9_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden likaaminen tai niihin töhertäminen:Minä koin;
k15_9_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden likaaminen tai niihin töhertäminen:Kollegani koki;
k15_10_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden luvaton käyttö:Minä koin;
k15_10_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden luvaton käyttö:Kollegani koki;
k16_1_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Pelottelu:Minä koin;
k16_1_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Pelottelu:Kollegani koki;
k16_2_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Työn tai liikkumisen estäminen:Minä koin;
k16_2_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Työn tai liikkumisen estäminen:Kollegani koki;
k16_3_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Äänen korottaminen:Minä koin;
k16_3_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Äänen korottaminen:Kollegani koki;
k16_4_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Vuorovaikutustilanteessa liian lähelle tuleminen:Minä koin;
k16_4_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Vuorovaikutustilanteessa liian lähelle tuleminen:Kollegani koki;
k16_5_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Törkeiden eleiden näyttäminen:Minä koin;
k16_5_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Törkeiden eleiden näyttäminen:Kollegani koki;
k16_6_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Muu törkeä käyttäytyminen:Minä koin;
k16_6_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Muu törkeä käyttäytyminen:Kollegani koki;
k16_7_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Mulkoilu tai tuijottaminen:Minä koin;
k16_7_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Mulkoilu tai tuijottaminen:Kollegani koki;
k16_8_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Fyysisellä väkivallalla uhkaaminen:Minä koin;
k16_8_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Fyysisellä väkivallalla uhkaaminen:Kollegani koki;
k16_9_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Esineellä heittämisellä uhkaaminen:Minä koin;
k16_9_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Esineellä heittämisellä uhkaaminen:Kollegani koki;
k16_10_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Aseella tai voimankäyttövälineellä uhkaaminen:Minä koin;
k16_10_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Aseella tai voimankäyttövälineellä uhkaaminen:Kollegani koki;
k16_11_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Tappamisella uhkaaminen:Minä koin;
k16_11_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Tappamisella uhkaaminen:Kollegani koki;
k16_12_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Seuraaminen:Minä koin;
k16_12_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Seuraaminen:Kollegani koki;
k16_13_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Tarkkailu:Minä koin;
k16_13_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Tarkkailu:Kollegani koki;
k16_14_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Läheisiin kohdistuvalla väkivallalla uhkaaminen:Minä koin;
k16_14_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta uhkailusta::Läheisiin kohdistuvalla väkivallalla uhkaaminen:Kollegani koki;
k17_1_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Lyöminen:Minä koin;
k17_1_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Lyöminen:Kollegani koki;
k17_2_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Tuuppaaminen tai tönäiseminen:Minä koin;
k17_2_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Tuuppaaminen tai tönäiseminen:Kollegani koki;
k17_3_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Tarkoituksella henkilöön törmääminen liiallisella voimalla:Minä koin;
k17_3_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Tarkoituksella henkilöön törmääminen liiallisella voimalla:Kollegani koki;
k17_4_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Päälle sylkäiseminen:Minä koin;
k17_4_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Päälle sylkäiseminen:Kollegani koki;
k17_5_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Esineellä heittäminen:Minä koin;
k17_5_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Esineellä heittäminen:Kollegani koki;
k17_6_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Kiinni tarttuminen:Minä koin;
k17_6_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Kiinni tarttuminen:Kollegani koki;
k17_7_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Potkaiseminen:Minä koin;
k17_7_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Potkaiseminen:Kollegani koki;
k17_8_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Kuristaminen:Minä koin;
k17_8_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Kuristaminen:Kollegani koki;
k17_9_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Raapiminen:Minä koin;
k17_9_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Raapiminen:Kollegani koki;
k17_10_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Hiuksista tarttuminen:Minä koin;
k17_10_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Hiuksista tarttuminen:Kollegani koki;
k17_11_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Voimankäyttövälineillä tai aseella vahingoittaminen:Minä koin;
k17_11_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta fyysisestä väkivallasta::Voimankäyttövälineillä tai aseella vahingoittaminen:Kollegani koki;
k18_1_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Seksuaaliset vitsit tai nöyryyttävät seksuaaliset kommentit:Minä koin;
k18_1_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Seksuaaliset vitsit tai nöyryyttävät seksuaaliset kommentit:Kollegani koki;
k18_2_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Seksuaaliset keholliset eleet:Minä koin;
k18_2_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Seksuaaliset keholliset eleet:Kollegani koki;
k18_3_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Toistuvat tapaamisen tai puhelinnumeron vaatimukset:Minä koin;
k18_3_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Toistuvat tapaamisen tai puhelinnumeron vaatimukset:Kollegani koki;
k18_4_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Seksuaalinen tai seksuaalissävytteinen vihjailu:Minä koin;
k18_4_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Seksuaalinen tai seksuaalissävytteinen vihjailu:Kollegani koki;
k18_5_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Pakotettu seksuaalinen teko tai raiskaus, tai näiden yritys:Minä koin;
k18_5_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Pakotettu seksuaalinen teko tai raiskaus, tai näiden yritys:Kollegani koki;
k18_6_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Sukuelinten, rintojen tai pakaroiden koskettelu tai tämän yritys:Minä koin;
k18_6_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Sukuelinten, rintojen tai pakaroiden koskettelu tai tämän yritys:Kollegani koki;
k18_7_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Hyväileminen tai epäasiallinen koskettelu muiden kuin sukuelinten, rintojen tai pakaroiden alueella:Minä koin;
k18_7_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Hyväileminen tai epäasiallinen koskettelu muiden kuin sukuelinten, rintojen tai pakaroiden alueella:Kollegani koki;
k18_8_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Ei-toivottujen lahjojen tai muiden huomionosoituksien antaminen:Minä koin;
k18_8_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Ei-toivottujen lahjojen tai muiden huomionosoituksien antaminen:Kollegani koki;
k18_9_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Ei-toivottujen kuvien lähettäminen tai kuvaaminen:Minä koin;
k18_9_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Ei-toivottujen kuvien lähettäminen tai kuvaaminen:Kollegani koki;
k18_10_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Seksuaalissävytteisen materiaalin levittäminen tai esilläpito:Minä koin;
k18_10_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta seksuaalisesta häirinnästä tai väkivallasta::Seksuaalissävytteisen materiaalin levittäminen tai esilläpito:Kollegani koki;
k19_1_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Henkilön toiminnasta muille valittaminen ennen keskustelua kohteen kanssa:Minä koin;
k19_1_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Henkilön toiminnasta muille valittaminen ennen keskustelua kohteen kanssa:Kollegani koki;
